cell | V (mV),INa | xina (nA_per_nF)
26.8888,-3.96E-07
26.8496,-4.03E-07
26.8104,-3.95E-07
26.7713,-3.76E-07
26.7323,-3.66E-07
26.6934,-3.49E-07
26.6546,-3.26E-07
26.6158,-3.00E-07
26.5772,-2.71E-07
26.5386,-2.44E-07
26.5,-2.19E-07
26.4616,-1.89E-07
26.4232,-1.49E-07
26.385,-1.08E-07
26.3468,-7.01E-08
26.3087,-3.59E-08
26.2706,-7.98E-09
26.2327,1.10E-08
26.1948,1.82E-08
26.1571,3.23E-08
26.1194,4.59E-08
26.0818,5.53E-08
26.0442,6.06E-08
26.0068,6.23E-08
25.9695,6.08E-08
25.9322,5.71E-08
25.895,5.16E-08
25.8579,3.94E-08
25.8209,2.52E-08
25.784,9.92E-09
25.7471,-5.23E-09
25.7104,-1.88E-08
25.6737,-2.93E-08
25.6371,-3.47E-08
25.6006,-3.88E-08
25.5642,-4.90E-08
25.5279,-5.77E-08
25.4916,-6.45E-08
25.4555,-6.91E-08
25.4194,-7.14E-08
25.3835,-7.12E-08
25.3476,-6.83E-08
25.3118,-6.39E-08
25.2761,-5.82E-08
25.2405,-5.12E-08
25.2049,-4.35E-08
25.1695,-3.55E-08
25.1341,-2.81E-08
25.0989,-2.22E-08
25.0637,-1.88E-08
25.0286,-3.62E-09
24.9936,1.46E-08
24.9587,3.45E-08
24.9239,5.59E-08
24.8892,7.80E-08
24.8545,1.00E-07
24.82,1.21E-07
24.7855,1.40E-07
24.7512,1.56E-07
24.7169,1.67E-07
24.6827,1.71E-07
24.6486,1.67E-07
24.6146,1.79E-07
24.5806,2.02E-07
24.5468,2.25E-07
24.5131,2.48E-07
24.4794,2.70E-07
24.4459,2.90E-07
24.4124,3.08E-07
24.379,3.22E-07
24.3457,3.31E-07
24.3125,3.35E-07
24.2794,3.32E-07
24.2464,3.20E-07
24.2135,3.11E-07
24.1806,3.17E-07
24.1479,3.22E-07
24.1152,3.26E-07
24.0826,3.28E-07
24.0502,3.29E-07
24.0178,3.27E-07
23.9855,3.23E-07
23.9533,3.17E-07
23.9211,3.08E-07
23.8891,2.96E-07
23.8572,2.80E-07
23.8253,2.62E-07
23.7935,2.50E-07
23.7619,2.38E-07
23.7303,2.24E-07
23.6988,2.11E-07
23.6674,1.97E-07
23.6361,1.83E-07
23.6049,1.69E-07
23.5737,1.55E-07
23.5427,1.42E-07
23.5117,1.30E-07
23.4809,1.19E-07
23.4501,1.09E-07
23.4194,9.70E-08
23.3888,8.49E-08
23.3583,7.34E-08
23.3279,6.26E-08
23.2975,5.27E-08
23.2673,4.36E-08
23.2371,3.54E-08
23.2071,2.84E-08
23.1771,2.25E-08
23.1472,1.78E-08
23.1174,1.44E-08
23.0877,1.25E-08
23.0581,1.06E-08
23.0285,8.81E-09
22.9991,7.79E-09
22.9697,7.42E-09
22.9404,7.62E-09
22.9112,8.28E-09
22.8822,9.26E-09
22.8531,1.04E-08
22.8242,1.16E-08
22.7954,1.26E-08
22.7666,1.33E-08
22.738,1.33E-08
22.7094,1.39E-08
22.6809,1.66E-08
22.6525,1.93E-08
22.6242,2.20E-08
22.5959,2.46E-08
22.5678,2.70E-08
22.5397,2.91E-08
22.5117,3.07E-08
22.4839,3.19E-08
22.456,3.24E-08
22.4283,3.22E-08
22.4007,3.12E-08
22.3731,2.95E-08
22.3457,2.92E-08
22.3183,2.86E-08
22.291,2.77E-08
22.2638,2.66E-08
22.2367,2.52E-08
22.2096,2.36E-08
22.1827,2.19E-08
22.1558,2.01E-08
