environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
958,13.5585
959,13.540845
960,13.523235
961,13.505655
962,13.48812
963,13.47063
964,13.453185
965,13.43577
966,13.4184
967,13.401075
968,13.38378
969,13.36653
970,13.349325
971,13.33215
972,13.31502
973,13.297935
974,13.280895
975,13.263885
976,13.24692
977,13.229985
978,13.213095
979,13.19625
980,13.179435
981,13.162665
982,13.145925
983,13.129245
984,13.11258
985,13.095975
986,13.0794
987,13.062855
988,13.046355
989,13.0299
990,13.013475
991,12.997095
992,12.980745
993,12.96444
994,12.948165
995,12.931935
996,12.91575
997,12.899595
998,12.88347
999,12.86739
1000,12.851355
