cell | V (mV),INa | INa (uA_per_uF)
32.4461,1.61E-09
32.4366,1.40E-09
32.4272,1.17E-09
32.4177,9.23E-10
32.4083,6.70E-10
32.3988,4.18E-10
32.3894,1.74E-10
32.38,-5.59E-11
32.3706,-2.62E-10
32.3611,-4.36E-10
32.3517,-5.67E-10
32.3423,-6.45E-10
32.3329,-6.59E-10
32.3236,-7.34E-10
32.3142,-8.64E-10
32.3048,-9.78E-10
32.2954,-1.07E-09
32.2861,-1.15E-09
32.2767,-1.21E-09
32.2674,-1.24E-09
32.258,-1.25E-09
32.2487,-1.25E-09
32.2394,-1.22E-09
32.2301,-1.17E-09
32.2208,-1.10E-09
32.2115,-1.02E-09
32.2022,-9.25E-10
32.1929,-8.18E-10
32.1836,-7.03E-10
32.1743,-5.81E-10
32.1651,-4.56E-10
32.1558,-3.32E-10
32.1466,-2.15E-10
32.1373,-1.08E-10
32.1281,-1.83E-11
32.1189,4.94E-11
32.1097,8.83E-11
32.1005,1.20E-10
32.0913,2.21E-10
32.0821,3.15E-10
32.0729,4.03E-10
32.0637,4.82E-10
32.0546,5.50E-10
32.0454,6.07E-10
32.0363,6.50E-10
32.0271,6.79E-10
32.018,6.92E-10
32.0089,6.87E-10
31.9998,6.64E-10
31.9907,6.23E-10
31.9816,5.99E-10
31.9725,5.67E-10
31.9634,5.26E-10
31.9544,4.79E-10
31.9453,4.27E-10
31.9362,3.72E-10
31.9272,3.16E-10
31.9182,2.61E-10
31.9092,2.10E-10
31.9001,1.66E-10
31.8911,1.32E-10
31.8821,1.12E-10
31.8732,1.03E-11
31.8642,-1.16E-10
31.8552,-2.51E-10
31.8463,-3.94E-10
31.8373,-5.44E-10
31.8284,-6.99E-10
31.8194,-8.57E-10
31.8105,-1.01E-09
31.8016,-1.17E-09
31.7927,-1.32E-09
31.7838,-1.46E-09
31.7749,-1.59E-09
31.7661,-1.70E-09
31.7572,-1.79E-09
31.7484,-1.86E-09
31.7395,-1.89E-09
31.7307,-1.88E-09
31.7219,-1.84E-09
31.7131,-1.74E-09
31.7043,-1.81E-09
31.6955,-1.95E-09
31.6867,-2.09E-09
31.6779,-2.23E-09
31.6691,-2.36E-09
31.6604,-2.50E-09
31.6516,-2.62E-09
31.6429,-2.74E-09
31.6342,-2.84E-09
31.6255,-2.94E-09
31.6168,-3.02E-09
31.6081,-3.08E-09
31.5994,-3.12E-09
31.5907,-3.13E-09
31.5821,-3.12E-09
31.5734,-3.07E-09
31.5648,-2.99E-09
31.5562,-2.87E-09
31.5475,-2.71E-09
31.5389,-2.65E-09
31.5303,-2.66E-09
31.5217,-2.66E-09
31.5132,-2.65E-09
31.5046,-2.64E-09
31.496,-2.63E-09
31.4875,-2.60E-09
31.4789,-2.58E-09
31.4704,-2.54E-09
31.4619,-2.50E-09
31.4534,-2.45E-09
31.4449,-2.39E-09
31.4364,-2.32E-09
31.4279,-2.25E-09
31.4195,-2.16E-09
31.411,-2.07E-09
31.4026,-1.96E-09
31.3942,-1.85E-09
31.3857,-1.72E-09
31.3773,-1.61E-09
31.3689,-1.52E-09
31.3605,-1.43E-09
31.3522,-1.34E-09
31.3438,-1.24E-09
31.3354,-1.15E-09
31.3271,-1.06E-09
31.3187,-9.71E-10
31.3104,-8.84E-10
31.3021,-7.99E-10
31.2938,-7.17E-10
31.2855,-6.39E-10
31.2772,-5.65E-10
