environment | time (second),AE1 | Jb_influx (nmol_per_s_per_cm2)
862,0.0383036
863,0.0382596
864,0.0382156
865,0.0381717
866,0.038128
867,0.0380843
868,0.0380407
869,0.0379973
870,0.0379539
871,0.0379106
872,0.0378675
873,0.0378244
874,0.0377814
875,0.0377385
876,0.0376958
877,0.0376531
878,0.0376105
879,0.037568
880,0.0375256
881,0.0374833
882,0.0374411
883,0.037399
884,0.037357
885,0.0373151
886,0.0372732
887,0.0372315
888,0.0371899
889,0.0371483
890,0.0371069
891,0.0370655
892,0.0370243
893,0.0369831
894,0.036942
895,0.036901
896,0.0368601
897,0.0368193
898,0.0367786
899,0.0367379
900,0.0366974
901,0.0366569
902,0.0366166
903,0.0365763
904,0.0365361
905,0.036496
906,0.036456
907,0.0364161
908,0.0363763
909,0.0363365
910,0.0362968
911,0.0362573
912,0.0362178
913,0.0361784
914,0.0361391
915,0.0360998
916,0.0360607
917,0.0360216
918,0.0359826
919,0.0359438
920,0.0359049
921,0.0358662
922,0.0358276
923,0.035789
924,0.0357505
925,0.0357122
926,0.0356738
927,0.0356356
928,0.0355975
929,0.0355594
930,0.0355214
931,0.0354835
932,0.0354457
933,0.035408
934,0.0353703
935,0.0353327
936,0.0352952
937,0.0352578
938,0.0352204
939,0.0351832
940,0.035146
941,0.0351089
942,0.0350719
943,0.0350349
944,0.034998
945,0.0349613
946,0.0349245
947,0.0348879
948,0.0348513
949,0.0348148
950,0.0347784
951,0.0347421
952,0.0347058
953,0.0346697
954,0.0346336
955,0.0345975
956,0.0345616
957,0.0345257
958,0.0344899
959,0.0344541
960,0.0344185
961,0.0343829
962,0.0343474
963,0.0343119
964,0.0342766
965,0.0342413
966,0.0342061
967,0.0341709
968,0.0341358
969,0.0341008
970,0.0340659
971,0.034031
972,0.0339962
973,0.0339615
974,0.0339269
975,0.0338923
976,0.0338578
977,0.0338233
978,0.033789
979,0.0337547
980,0.0337205
981,0.0336863
982,0.0336522
983,0.0336182
984,0.0335842
985,0.0335504
986,0.0335165
987,0.0334828
988,0.0334491
989,0.0334155
990,0.033382
991,0.0333485
992,0.0333151
993,0.0332817
994,0.0332485
995,0.0332152
996,0.0331821
997,0.033149
998,0.033116
999,0.0330831
1000,0.0330502
