membrane | V (mV),sodium_current | i_Na (uA_per_mm2)
-71.3559,-0.00423471
-70.8713,-0.00432308
-70.3869,-0.00442838
-69.9028,-0.00455319
-69.4189,-0.00470048
-68.9352,-0.00487363
-68.4515,-0.0050765
-67.9679,-0.00531343
-67.4844,-0.00558937
-67.0008,-0.00590991
-66.5172,-0.00628136
-66.0334,-0.00671083
-65.5494,-0.00720632
-65.0651,-0.00777683
-64.5804,-0.00843242
-64.0953,-0.0091844
-63.6095,-0.0100454
-63.123,-0.0110294
-62.6357,-0.0121522
-62.1473,-0.0134312
-61.6578,-0.0148857
-61.1669,-0.0165371
-60.6743,-0.0184092
-60.18,-0.0205282
-59.6835,-0.022923
-59.1847,-0.0256259
-58.6831,-0.0286722
-58.1784,-0.0321007
-57.6702,-0.0359543
-57.158,-0.0402799
-56.6414,-0.0451293
-56.1197,-0.0505598
-55.5924,-0.0566342
-55.0587,-0.0634215
-54.518,-0.0709977
-53.9693,-0.0794462
-53.4119,-0.0888587
-52.8445,-0.0993362
-52.2662,-0.110989
-51.6756,-0.123941
-51.0715,-0.138325
-50.4522,-0.154289
-49.8162,-0.171994
-49.1616,-0.191618
-48.4863,-0.21335
-47.7883,-0.237399
