Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
8.055,0.000257024
8.06,0.000251983
8.065,0.000247035
8.07,0.000242177
8.075,0.000237408
8.08,0.000232727
8.085,0.000228132
8.09,0.000223622
8.095,0.000219196
8.1,0.000214851
8.105,0.000210587
8.11,0.000206402
8.115,0.000202295
8.12,0.000198265
8.125,0.00019431
8.13,0.00019043
8.135,0.000186622
8.14,0.000182885
8.145,0.000179219
8.15,0.000175623
8.155,0.000172094
8.16,0.000168632
8.165,0.000165235
8.17,0.000161904
8.175,0.000158635
8.18,0.000155429
8.185,0.000152284
8.19,0.000149199
8.195,0.000146174
8.2,0.000143206
8.205,0.000140295
8.21,0.000137441
8.215,0.000134641
8.22,0.000131896
8.225,0.000129203
8.23,0.000126563
8.235,0.000123974
8.24,0.000121436
8.245,0.000118946
8.25,0.000116506
8.255,0.000114112
8.26,0.000111766
8.265,0.000109466
8.27,0.000107211
8.275,0.000105
8.28,0.000102832
8.285,0.000100707
8.29,9.86E-05
8.295,9.66E-05
8.3,9.46E-05
8.305,9.26E-05
8.31,9.07E-05
8.315,8.88E-05
8.32,8.70E-05
8.325,8.52E-05
8.33,8.34E-05
8.335,8.16E-05
8.34,7.99E-05
8.345,7.83E-05
8.35,7.66E-05
8.355,7.50E-05
8.36,7.35E-05
8.365,7.19E-05
8.37,7.04E-05
8.375,6.89E-05
8.38,6.75E-05
8.385,6.61E-05
8.39,6.47E-05
8.395,6.33E-05
8.4,6.20E-05
8.405,6.07E-05
8.41,5.94E-05
8.415,5.81E-05
8.42,5.69E-05
8.425,5.57E-05
8.43,5.45E-05
8.435,5.34E-05
8.44,5.22E-05
8.445,5.11E-05
8.45,5.00E-05
8.455,4.90E-05
8.46,4.79E-05
8.465,4.69E-05
8.47,4.59E-05
8.475,4.49E-05
8.48,4.40E-05
8.485,4.30E-05
8.49,4.21E-05
8.495,4.12E-05
8.5,4.03E-05
8.505,3.95E-05
8.51,3.86E-05
8.515,3.78E-05
8.52,3.70E-05
8.525,3.62E-05
8.53,3.54E-05
8.535,3.47E-05
8.54,3.39E-05
8.545,3.32E-05
8.55,3.25E-05
8.555,3.18E-05
8.56,3.11E-05
8.565,3.04E-05
8.57,2.98E-05
8.575,2.91E-05
8.58,2.85E-05
8.585,2.79E-05
8.59,2.73E-05
8.595,2.67E-05
8.6,2.61E-05
8.605,2.55E-05
8.61,2.50E-05
8.615,2.44E-05
8.62,2.39E-05
8.625,2.34E-05
8.63,2.29E-05
8.635,2.24E-05
8.64,2.19E-05
8.645,2.14E-05
8.65,2.10E-05
8.655,2.05E-05
8.66,2.01E-05
8.665,1.96E-05
8.67,1.92E-05
8.675,1.88E-05
8.68,1.84E-05
8.685,1.80E-05
8.69,1.76E-05
8.695,1.72E-05
8.7,1.68E-05
8.705,1.64E-05
8.71,1.61E-05
