ion_concentrations | V (volt),NBC_current | I_NaGl_SS (uA)
-0.0186,-0.0490575
-0.0184,-0.0489814
-0.0182,-0.0489051
-0.018,-0.0488285
-0.0178,-0.0487518
-0.0176,-0.0486748
-0.0174,-0.0485975
-0.0172,-0.0485201
-0.017,-0.0484424
-0.0168,-0.0483644
-0.0166,-0.0482863
-0.0164,-0.0482079
-0.0162,-0.0481293
-0.016,-0.0480504
-0.0158,-0.0479713
-0.0156,-0.047892
-0.0154,-0.0478125
-0.0152,-0.0477327
-0.015,-0.0476527
-0.0148,-0.0475725
-0.0146,-0.047492
-0.0144,-0.0474113
-0.0142,-0.0473304
-0.014,-0.0472492
-0.0138,-0.0471678
-0.0136,-0.0470862
-0.0134,-0.0470044
-0.0132,-0.0469223
-0.013,-0.04684
-0.0128,-0.0467575
-0.0126,-0.0466748
-0.0124,-0.0465918
-0.0122,-0.0465086
-0.012,-0.0464252
-0.0118,-0.0463415
-0.0116,-0.0462576
-0.0114,-0.0461735
-0.0112,-0.0460892
-0.011,-0.0460046
-0.0108,-0.0459199
-0.0106,-0.0458349
-0.0104,-0.0457496
-0.0102,-0.0456642
-0.01,-0.0455785
-0.0098,-0.0454926
-0.0096,-0.0454065
-0.0094,-0.0453202
-0.0092,-0.0452336
-0.009,-0.0451469
-0.0088,-0.0450599
-0.0086,-0.0449727
-0.0084,-0.0448852
-0.0082,-0.0447976
-0.008,-0.0447097
-0.0078,-0.0446217
-0.0076,-0.0445334
-0.0074,-0.0444449
-0.0072,-0.0443561
-0.007,-0.0442672
-0.0068,-0.0441781
-0.0066,-0.0440887
-0.0064,-0.0439991
-0.0062,-0.0439094
-0.006,-0.0438194
-0.0058,-0.0437292
-0.0056,-0.0436388
-0.0054,-0.0435481
-0.0052,-0.0434573
-0.005,-0.0433663
-0.0048,-0.0432751
-0.0046,-0.0431836
-0.0044,-0.043092
-0.0042,-0.0430001
-0.004,-0.0429081
-0.0038,-0.0428159
-0.0036,-0.0427234
-0.0034,-0.0426308
-0.0032,-0.0425379
-0.003,-0.0424449
-0.0028,-0.0423516
-0.0026,-0.0422582
-0.0024,-0.0421646
-0.0022,-0.0420708
-0.002,-0.0419768
-0.0018,-0.0418826
-0.0016,-0.0417882
-0.0014,-0.0416936
-0.0012,-0.0415988
-0.001,-0.0415039
-0.0008,-0.0414087
-0.0006,-0.0413134
-0.0004,-0.0412179
-0.0002,-0.0411222
2.77556e-17,-0.0410263
0.0002,-0.0409303
0.0004,-0.0408341
0.0006,-0.0407376
0.0008,-0.0406411
0.001,-0.0405443
0.0012,-0.0404474
0.0014,-0.0403503
0.0016,-0.040253
0.0018,-0.0401555
0.002,-0.0400579
0.0022,-0.0399601
0.0024,-0.0398622
0.0026,-0.0397641
0.0028,-0.0396658
0.003,-0.0395674
0.0032,-0.0394688
0.0034,-0.03937
0.0036,-0.0392711
0.0038,-0.039172
0.004,-0.0390728
0.0042,-0.0389734
0.0044,-0.0388739
0.0046,-0.0387742
0.0048,-0.0386744
0.005,-0.0385744
0.0052,-0.0384743
0.0054,-0.038374
0.0056,-0.0382736
0.0058,-0.038173
0.006,-0.0380723
0.0062,-0.0379715
0.0064,-0.0378705
0.0066,-0.0377694
0.0068,-0.0376682
0.007,-0.0375668
0.0072,-0.0374653
0.0074,-0.0373637
0.0076,-0.037262
0.0078,-0.0371601
0.008,-0.0370581
0.0082,-0.036956
0.0084,-0.0368537
0.0086,-0.0367514
0.0088,-0.0366489
0.009,-0.0365463
0.0092,-0.0364436
0.0094,-0.0363408
0.0096,-0.0362379
0.0098,-0.0361349
0.01,-0.0360317
0.0102,-0.0359285
0.0104,-0.0358252
0.0106,-0.0357217
0.0108,-0.0356182
0.011,-0.0355146
0.0112,-0.0354109
0.0114,-0.035307
0.0116,-0.0352031
0.0118,-0.0350991
0.012,-0.0349951
0.0122,-0.0348909
0.0124,-0.0347867
0.0126,-0.0346823
0.0128,-0.0345779
0.013,-0.0344734
0.0132,-0.0343689
0.0134,-0.0342643
0.0136,-0.0341596
0.0138,-0.0340548
0.014,-0.03395
0.0142,-0.0338451
0.0144,-0.0337401
0.0146,-0.0336351
0.0148,-0.03353
0.015,-0.0334249
0.0152,-0.0333197
0.0154,-0.0332144
0.0156,-0.0331091
0.0158,-0.0330038
0.016,-0.0328984
0.0162,-0.032793
0.0164,-0.0326875
0.0166,-0.032582
0.0168,-0.0324765
0.017,-0.0323709
0.0172,-0.0322653
0.0174,-0.0321596
0.0176,-0.0320539
0.0178,-0.0319482
0.018,-0.0318425
0.0182,-0.0317368
0.0184,-0.031631
0.0186,-0.0315252
0.0188,-0.0314194
0.019,-0.0313136
0.0192,-0.0312078
0.0194,-0.031102
0.0196,-0.0309961
0.0198,-0.0308903
