Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
7.905,0.0186875
7.91,0.018547
7.915,0.0184069
7.92,0.0182674
7.925,0.0181284
7.93,0.0179899
7.935,0.0178519
7.94,0.0177145
7.945,0.0175777
7.95,0.0174413
7.955,0.0173056
7.96,0.0171704
7.965,0.0170358
7.97,0.0169017
7.975,0.0167682
7.98,0.0166353
7.985,0.016503
7.99,0.0163713
7.995,0.0162401
8,0.0161096
8.005,0.0159797
8.01,0.0158504
8.015,0.0157217
8.02,0.0155936
8.025,0.0154662
8.03,0.0153394
8.035,0.0152132
8.04,0.0150876
8.045,0.0149627
8.05,0.0148384
8.055,0.0147148
8.06,0.0145918
8.065,0.0144694
8.07,0.0143477
8.075,0.0142267
8.08,0.0141063
8.085,0.0139866
8.09,0.0138676
8.095,0.0137492
8.1,0.0136315
8.105,0.0135144
8.11,0.0133981
8.115,0.0132824
8.12,0.0131673
8.125,0.013053
8.13,0.0129393
8.135,0.0128263
8.14,0.012714
8.145,0.0126024
8.15,0.0124915
8.155,0.0123812
8.16,0.0122717
8.165,0.0121628
8.17,0.0120546
8.175,0.0119471
8.18,0.0118403
8.185,0.0117341
8.19,0.0116287
8.195,0.011524
8.2,0.0114199
8.205,0.0113165
8.21,0.0112139
8.215,0.0111119
8.22,0.0110106
8.225,0.01091
8.23,0.01081
8.235,0.0107108
8.24,0.0106123
8.245,0.0105144
8.25,0.0104172
8.255,0.0103207
8.26,0.0102249
8.265,0.0101298
8.27,0.0100354
8.275,0.00994162
8.28,0.00984854
8.285,0.00975614
8.29,0.00966442
8.295,0.00957338
8.3,0.00948301
8.305,0.00939331
8.31,0.00930429
8.315,0.00921593
8.32,0.00912825
8.325,0.00904122
8.33,0.00895487
8.335,0.00886917
8.34,0.00878414
8.345,0.00869976
8.35,0.00861604
8.355,0.00853298
8.36,0.00845057
8.365,0.0083688
8.37,0.00828769
8.375,0.00820722
8.38,0.00812739
8.385,0.0080482
8.39,0.00796965
8.395,0.00789173
8.4,0.00781445
8.405,0.0077378
8.41,0.00766177
8.415,0.00758637
8.42,0.00751159
8.425,0.00743743
8.43,0.00736389
8.435,0.00729096
8.44,0.00721864
8.445,0.00714693
8.45,0.00707583
8.455,0.00700532
8.46,0.00693542
8.465,0.00686611
8.47,0.00679739
8.475,0.00672926
8.48,0.00666172
8.485,0.00659477
8.49,0.00652839
8.495,0.00646259
8.5,0.00639736
8.505,0.00633271
8.51,0.00626862
8.515,0.0062051
8.52,0.00614214
8.525,0.00607973
8.53,0.00601788
8.535,0.00595658
8.54,0.00589583
8.545,0.00583563
8.55,0.00577596
8.555,0.00571683
8.56,0.00565824
8.565,0.00560018
8.57,0.00554264
8.575,0.00548563
8.58,0.00542914
8.585,0.00537317
8.59,0.00531771
8.595,0.00526276
8.6,0.00520832
8.605,0.00515439
8.61,0.00510095
8.615,0.00504801
8.62,0.00499556
8.625,0.00494361
8.63,0.00489214
8.635,0.00484115
8.64,0.00479064
8.645,0.00474061
8.65,0.00469105
8.655,0.00464197
8.66,0.00459334
8.665,0.00454518
8.67,0.00449748
8.675,0.00445024
8.68,0.00440344
8.685,0.0043571
8.69,0.0043112
8.695,0.00426574
8.7,0.00422072
8.705,0.00417614
8.71,0.00413199
8.715,0.00408826
8.72,0.00404497
8.725,0.00400209
8.73,0.00395963
8.735,0.00391759
8.74,0.00387596
8.745,0.00383474
8.75,0.00379392
8.755,0.00375351
8.76,0.00371349
8.765,0.00367387
8.77,0.00363464
8.775,0.00359581
8.78,0.00355735
8.785,0.00351928
8.79,0.00348159
8.795,0.00344427
8.8,0.00340733
8.805,0.00337076
8.81,0.00333455
8.815,0.00329871
8.82,0.00326323
8.825,0.00322811
8.83,0.00319334
8.835,0.00315892
8.84,0.00312485
8.845,0.00309112
8.85,0.00305774
8.855,0.0030247
8.86,0.00299199
8.865,0.00295961
8.87,0.00292757
8.875,0.00289585
8.88,0.00286446
8.885,0.00283339
8.89,0.00280263
8.895,0.0027722
8.9,0.00274207
8.905,0.00271226
8.91,0.00268275
8.915,0.00265355
8.92,0.00262465
8.925,0.00259605
8.93,0.00256774
8.935,0.00253973
8.94,0.00251201
8.945,0.00248457
8.95,0.00245743
8.955,0.00243056
8.96,0.00240397
8.965,0.00237767
8.97,0.00235163
8.975,0.00232587
8.98,0.00230038
8.985,0.00227516
8.99,0.0022502
8.995,0.0022255
9,0.00220106
