environment | time (second),Concentrations | C_ext_H (mM),Concentrations | C_ext_Na (mM),Concentrations | C_ext_Na' (mM/second),Concentrations | C_ext_NH4 (mM),Concentrations | C_int_H (mM),Concentrations | C_int_Na (mM),Concentrations | C_int_NH4 (mM),NHE3 | alpha_ext_Na (dimensionless),NHE3 | alpha_int_Na (dimensionless),NHE3 | beta_ext_H (dimensionless),NHE3 | beta_int_H (dimensionless),NHE3 | gamma_ext_NH4 (dimensionless),NHE3 | gamma_int_NH4 (dimensionless),NHE3 | J_NHE3_H (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_NH4 (nmol_per_s_per_cm2),NHE3 | sum_NHE3 (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_H (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_Na (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_NH4 (nmol_per_s_per_cm2),NHE3_Parameters | K_NHE3_H (mM),NHE3_Parameters | K_NHE3_Na (mM),NHE3_Parameters | K_NHE3_NH4 (mM),NHE3_Parameters | XTxP0_NHE3_H (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_Na (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_NH4 (nmol_per_s_per_cm2),,,,,,NHE3 | C_ext_Na (mM),NHE3 | C_int_Na (mM)
0.054,0.0495,140.54,10,0.2,0.001,19.6,0.23,4.68467,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1865,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.54,19.6
0.055,0.0495,140.55,10,0.2,0.001,19.6,0.23,4.685,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1865,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.55,19.6
0.056,0.0495,140.56,10,0.2,0.001,19.6,0.23,4.68533,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1865,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.56,19.6
0.057,0.0495,140.57,10,0.2,0.001,19.6,0.23,4.68567,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1865,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.57,19.6
0.058,0.0495,140.58,10,0.2,0.001,19.6,0.23,4.686,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1866,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.58,19.6
0.059,0.0495,140.59,10,0.2,0.001,19.6,0.23,4.68633,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1866,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.59,19.6
0.06,0.0495,140.6,10,0.2,0.001,19.6,0.23,4.68667,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1866,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.6,19.6
0.061,0.0495,140.61,10,0.2,0.001,19.6,0.23,4.687,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1866,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.61,19.6
0.062,0.0495,140.62,10,0.2,0.001,19.6,0.23,4.68733,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1867,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.62,19.6
0.063,0.0495,140.63,10,0.2,0.001,19.6,0.23,4.68767,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1867,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.63,19.6
0.064,0.0495,140.64,10,0.2,0.001,19.6,0.23,4.688,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1867,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.64,19.6
0.065,0.0495,140.65,10,0.2,0.001,19.6,0.23,4.68833,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1867,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.65,19.6
0.066,0.0495,140.66,10,0.2,0.001,19.6,0.23,4.68867,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1867,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.66,19.6
